review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251203-392536,CUST-10145,REST-AUH-002,Solid experience. Paneer Butter Masala were well-prepared. Paneer Butter Masala had great flavor. Minor issues with packaging.,4,2025-12-05T11:22:31.234927
REV-000002,ORD-20251210-503970,CUST-10495,REST-DXB-002,Outstanding experience! The Palak Paneer  Paneer Butter Masala  and Chicken Seekh Kebab exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2025-12-12T11:22:32.234927
REV-000004,ORD-20251211-373554,CUST-10494,REST-DXB-002,Very satisfied! Rasmalai (2 pcs)  Tandoori Roti  Lamb Rogan Josh  and Fresh Lime Soda were fresh and flavorful. Rasmalai (2 pcs) was the standout dish.,4,2025-12-12T13:40:53.234927
REV-000005,ORD-20251212-339880,CUST-10391,REST-AUH-001,Enjoyed the Masala Chai  Vegetable Biryani  Butter Naan  and Aloo Tikki Chaat! Masala Chai was very good. Portion sizes were generous. Recommend!,4,2025-12-13T20:09:39.234927
REV-000003,ORD-20251210-872965,CUST-10413,REST-SHJ-001,Wow! Just wow! Malai Kofta and Kulfi were all fantastic. Kulfi was particularly memorable. Can't wait to order again!,5,2025-12-14T11:54:59.234927
REV-000006,ORD-20251214-776594,CUST-10303,REST-AUH-002,Exceptional quality! Ordered Malai Kofta and Palak Paneer and everything was delicious. The Malai Kofta melted in my mouth. Perfect!,5,2025-12-19T15:25:18.234927
REV-000007,ORD-20251215-609989,CUST-10028,REST-DXB-001,Good quality food. Kulfi and Butter Naan were nicely done. Butter Naan could have been slightly spicier but still good!,4,2025-12-20T10:26:43.234927
REV-000008,ORD-20251221-790056,CUST-10273,REST-AUH-001,Best Indian food in UAE! Kulfi and Chole Bhature were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2025-12-23T13:25:59.234927
REV-000009,ORD-20251222-870562,CUST-10223,REST-DXB-002,Outstanding experience! The Chicken 65 and Paneer Butter Masala exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2025-12-23T17:55:59.234927
REV-000010,ORD-20251223-413966,CUST-10440,REST-AUH-001,Hands down the best Lamb Rogan Josh I've ever had! Lamb Rogan Josh and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2025-12-26T14:07:03.234927
REV-000012,ORD-20251227-484600,CUST-10471,REST-AUH-001,Outstanding experience! The Fish Curry exceeded all expectations. Fish Curry was the star of the meal. Will definitely order again!,5,2025-12-28T10:14:17.234927
REV-000011,ORD-20251225-779885,CUST-10285,REST-DXB-001,Worst food ever! Paneer Tikka and Samosa (2 pcs) were all wrong. Samosa (2 pcs) made me sick. Never ordering again!,1,2025-12-30T20:27:58.234927
REV-000013,ORD-20251230-147904,CUST-10381,REST-DXB-001,Very satisfied! Chicken 65 and Chole Bhature were fresh and flavorful. Chole Bhature was the standout dish.,4,2025-12-31T13:34:50.234927
REV-000014,ORD-20260104-797209,CUST-10068,REST-AUH-001,Perfect in every way! Garlic Naan were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2026-01-08T14:35:20.234927
REV-000016,ORD-20260105-839152,CUST-10026,REST-AUH-001,Absolutely amazing Chicken 65 and Sweet Lassi! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-08T17:51:18.234927
REV-000018,ORD-20260106-623926,CUST-10299,REST-AUH-001,Below expectations. Tandoori Roti  Garlic Naan  and Palak Paneer were underwhelming. Tandoori Roti was overcooked and dry.,2,2026-01-09T16:52:15.234927
